id,ФИО,Должность,Специализация,Стаж,id_Repair_Station
1,Coletta Halward,Sales Representative,Cras non velit nec nisi vulputate nonummy.,20,1
2,Thorvald Lidgate,Media Manager I,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",19,2
3,Morgen Gilhool,Cost Accountant,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,37,3
4,Christoforo Jahnisch,Sales Associate,Suspendisse accumsan tortor quis turpis.,6,4
5,Rhetta Row,Director of Sales,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",20,5
6,Erminia Bischop,Staff Scientist,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",27,6
7,Christie Juarez,Office Assistant IV,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",0,7
8,Findlay Marcam,Engineer I,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.,0,8
9,Alayne Bendik,Business Systems Development Analyst,In eleifend quam a odio.,29,9
10,Elisha Death,Desktop Support Technician,Suspendisse potenti.,36,10
11,Jody Tumayan,Structural Analysis Engineer,Cras in purus eu magna vulputate luctus.,32,11
12,Ulrike Coultass,Software Test Engineer II,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",34,12
13,Ceciley Allerton,Marketing Assistant,Vestibulum rutrum rutrum neque.,23,13
14,Willyt Sondland,Compensation Analyst,Integer ac leo. Pellentesque ultrices mattis odio.,3,14
15,Kearney D'Aeth,Budget/Accounting Analyst IV,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",32,15
16,Laurie Bernot,Web Developer IV,Nunc nisl.,13,16
17,Jacquenetta Richardet,Occupational Therapist,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",25,17
18,Vinny Burren,Executive Secretary,"Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",37,18
19,Amanda Gossage,Business Systems Development Analyst,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",15,19
20,Candide Blacksland,Product Engineer,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",4,20
21,Vivianne Laskey,Senior Quality Engineer,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",4,21
22,Vanna Sowood,Health Coach IV,Phasellus sit amet erat. Nulla tempus.,12,22
23,Hagan Oades,Teacher,Morbi non quam nec dui luctus rutrum. Nulla tellus.,22,23
24,Ulrika Uttridge,Dental Hygienist,Praesent blandit lacinia erat.,2,24
