id,ФИО,Стаж,Должность,Звание,Зарплата
1,Yance Rillatt,6,VP Product Management,Librarian,185930
2,Jayme Grinnov,20,Senior Financial Analyst,Assistant Manager,403370
3,Gisele Etches,8,Safety Technician IV,Developer II,223516
4,Merell Sirey,12,Legal Assistant,Payment Adjustment Coordinator,177027
5,Lenee Ciccotti,28,Structural Engineer,Staff Accountant I,171156
6,Richard Brickett,20,Cost Accountant,Human Resources Assistant IV,184401
7,Mikaela Klemenz,29,Marketing Manager,Administrative Assistant I,295164
8,Gleda Woller,30,Senior Quality Engineer,Account Representative II,321868
9,Robinett Gifkins,2,Nurse,Teacher,434024
10,Adan Bazek,24,Data Coordiator,Senior Editor,426312
11,Everett Dabnor,6,Occupational Therapist,Computer Systems Analyst II,95022
12,Howey Lyngsted,15,VP Product Management,VP Product Management,364929
13,Bram Kubes,25,Financial Analyst,Information Systems Manager,308957
14,Opalina Vannoort,9,Marketing Assistant,Sales Representative,63273
15,Britney Grent,23,Tax Accountant,Software Test Engineer II,184007
16,Jasper Joannidi,18,Design Engineer,Sales Representative,41520
17,Malvin Riden,26,Quality Control Specialist,Marketing Assistant,212588
18,Danella Braganca,22,Internal Auditor,Systems Administrator II,104977
19,Aubree Kniveton,1,Librarian,Graphic Designer,488301
20,Micheal Ammer,6,Administrative Officer,Desktop Support Technician,287898
21,Aloise Syrad,15,Senior Financial Analyst,General Manager,292376
22,Lorenza Arger,13,Environmental Specialist,Staff Scientist,471092
23,Cordy Buss,21,Research Assistant IV,Physical Therapy Assistant,497496
24,Tobias Greber,19,Nurse Practicioner,Internal Auditor,356174
25,Nicky Ditzel,19,Safety Technician II,Budget/Accounting Analyst II,475022
26,Elga Roches,30,Administrative Officer,Chief Design Engineer,352137
27,Garv Overal,9,Legal Assistant,Administrative Assistant IV,455947
28,Clementine Breeder,15,Developer II,Analyst Programmer,445298
29,Peggie Gallehawk,8,Environmental Specialist,Analyst Programmer,294207
30,Lorna Lynd,19,Data Coordiator,Editor,173399
31,Rochell Matthiae,25,Office Assistant I,Accountant IV,89926
32,Hatti Kelson,1,Mechanical Systems Engineer,Help Desk Operator,458720
33,Pooh Yarker,18,Information Systems Manager,Desktop Support Technician,424780
34,Edita Roome,20,Payment Adjustment Coordinator,Marketing Assistant,237994
35,Sigrid Brent,28,Assistant Professor,Design Engineer,191551
36,Dorrie Dyment,12,Design Engineer,Computer Systems Analyst II,343472
37,Orion Pinnington,6,Developer I,Speech Pathologist,477526
38,Marti Ghidoli,3,Accountant IV,Engineer IV,214837
39,Westbrooke Beardsall,21,Programmer Analyst III,Senior Editor,455799
40,Addy Schwandermann,26,Account Representative II,Office Assistant I,260179
41,Rayna Jedrzaszkiewicz,21,Nuclear Power Engineer,Recruiter,216592
42,Stoddard Christy,23,Desktop Support Technician,Account Executive,483390
43,Northrup Chaloner,6,Accountant III,Junior Executive,152352
44,Cammi Lockett,20,Quality Control Specialist,Accounting Assistant I,69636
45,Julita de Copeman,20,Web Designer III,Nurse,381871
46,Mirna Ronnay,29,Editor,Project Manager,109123
47,Averil Telega,11,Help Desk Technician,Graphic Designer,255206
48,Yvor Hardaker,0,Quality Engineer,Marketing Assistant,318480
49,Serena Scurman,14,Statistician IV,Civil Engineer,313876
50,Patience Bernetti,21,Office Assistant I,Tax Accountant,155970
51,Gordan Nathon,21,Human Resources Assistant III,Senior Cost Accountant,258310
52,Martha Dimmick,0,Structural Engineer,Senior Quality Engineer,295912
53,Frederic Pedlar,5,Cost Accountant,Internal Auditor,11317
54,Clarette Stonebridge,23,Environmental Specialist,Geologist IV,10551
55,Othello Pecey,27,Systems Administrator II,Business Systems Development Analyst,66460
56,Ambros Biffen,10,Business Systems Development Analyst,Environmental Specialist,341801
57,Bibby Langford,20,Internal Auditor,Tax Accountant,310257
58,Ange Thirkettle,17,Help Desk Technician,Human Resources Assistant III,80464
59,Trisha Gilcrist,23,Senior Quality Engineer,Systems Administrator II,153516
60,Caresse Gwyneth,12,Office Assistant III,Systems Administrator I,183937
61,Hillard Drummond,9,Project Manager,Media Manager IV,290288
62,Karlen Leverett,13,Speech Pathologist,Database Administrator III,77147
63,Westley Jacobsohn,28,Web Developer III,Engineer III,388018
64,Isaac Cawthorne,1,Sales Representative,Recruiter,47269
